id;coach_name;start_at;end_at;capacity;status;studio_id;class_type_id
1;Alice Coach;2026-02-13T09:00:00;2026-02-13T10:00:00;10;OPEN;1;1
2;Bob Coach;2026-02-13T10:30:00;2026-02-13T11:30:00;10;OPEN;2;2
3;Charlie Coach;2026-02-13T14:00:00;2026-02-13T15:00:00;10;OPEN;1;3
4;David Coach;2026-02-14T09:00:00;2026-02-14T10:00:00;10;OPEN;2;1
5;Eva Coach;2026-02-14T11:00:00;2026-02-14T12:00:00;10;OPEN;1;2
6;Frank Coach;2026-02-15T09:00:00;2026-02-15T10:00:00;10;OPEN;2;3
7;Grace Coach;2026-02-15T15:00:00;2026-02-15T16:00:00;10;OPEN;1;1
8;Harry Coach;2026-02-16T10:00:00;2026-02-16T11:00:00;10;OPEN;2;2
9;Ivy Coach;2026-02-16T12:00:00;2026-02-16T13:00:00;10;OPEN;1;3
10;Jack Coach;2026-02-16T18:00:00;2026-02-16T19:00:00;10;OPEN;2;1
