id;coach_name;start_at;end_at;capacity;status;studio_id;class_type_id
1;Thomas;2026-02-13T08:00:00;2026-02-13T08:50:00;20;OPEN;1;2
2;Julie;2026-02-13T09:00:00;2026-02-13T09:50:00;20;OPEN;2;3
3;Antoine;2026-02-13T10:00:00;2026-02-13T10:50:00;10;OPEN;2;2
4;Sarah;2026-02-13T12:15:00;2026-02-13T13:05:00;15;OPEN;2;3
5;Julie;2026-02-13T17:30:00;2026-02-13T18:20:00;12;OPEN;1;3
6;Antoine;2026-02-13T18:30:00;2026-02-13T19:20:00;12;OPEN;2;3
7;Antoine;2026-02-13T19:30:00;2026-02-13T20:20:00;10;OPEN;1;1
8;Antoine;2026-02-14T09:00:00;2026-02-14T09:50:00;15;OPEN;1;1
9;Mélanie;2026-02-14T10:00:00;2026-02-14T10:50:00;20;OPEN;2;1
10;Julie;2026-02-14T11:00:00;2026-02-14T11:50:00;12;OPEN;2;2
11;Mélanie;2026-02-15T09:00:00;2026-02-15T09:50:00;20;OPEN;1;3
12;Mélanie;2026-02-15T10:00:00;2026-02-15T10:50:00;10;OPEN;1;3
13;Sarah;2026-02-15T11:00:00;2026-02-15T11:50:00;12;OPEN;1;2
14;Mélanie;2026-02-16T08:00:00;2026-02-16T08:50:00;12;OPEN;2;2
15;Thomas;2026-02-16T09:00:00;2026-02-16T09:50:00;12;OPEN;1;1
16;Thomas;2026-02-16T10:00:00;2026-02-16T10:50:00;12;OPEN;2;1
17;Mélanie;2026-02-16T12:15:00;2026-02-16T13:05:00;10;OPEN;2;3
18;Thomas;2026-02-16T17:30:00;2026-02-16T18:20:00;10;OPEN;1;3
19;Sarah;2026-02-16T18:30:00;2026-02-16T19:20:00;20;OPEN;1;1
20;Thomas;2026-02-16T19:30:00;2026-02-16T20:20:00;20;OPEN;2;3
21;Julie;2026-02-17T08:00:00;2026-02-17T08:50:00;20;OPEN;1;2
22;Antoine;2026-02-17T09:00:00;2026-02-17T09:50:00;10;OPEN;1;3
23;Antoine;2026-02-17T10:00:00;2026-02-17T10:50:00;10;OPEN;2;3
24;Julie;2026-02-17T12:15:00;2026-02-17T13:05:00;12;OPEN;1;1
25;Sarah;2026-02-17T17:30:00;2026-02-17T18:20:00;15;OPEN;2;1
26;Sarah;2026-02-17T18:30:00;2026-02-17T19:20:00;20;OPEN;1;2
27;Julie;2026-02-17T19:30:00;2026-02-17T20:20:00;20;OPEN;1;3
28;Mélanie;2026-02-18T08:00:00;2026-02-18T08:50:00;10;OPEN;2;1
29;Julie;2026-02-18T09:00:00;2026-02-18T09:50:00;10;OPEN;2;1
30;Antoine;2026-02-18T10:00:00;2026-02-18T10:50:00;12;OPEN;1;2
31;Antoine;2026-02-18T12:15:00;2026-02-18T13:05:00;15;OPEN;2;2
32;Sarah;2026-02-18T17:30:00;2026-02-18T18:20:00;10;OPEN;2;3
33;Julie;2026-02-18T18:30:00;2026-02-18T19:20:00;10;OPEN;1;1
34;Mélanie;2026-02-18T19:30:00;2026-02-18T20:20:00;12;OPEN;2;3
35;Sarah;2026-02-19T08:00:00;2026-02-19T08:50:00;12;OPEN;1;2
36;Julie;2026-02-19T09:00:00;2026-02-19T09:50:00;10;OPEN;1;2
37;Sarah;2026-02-19T10:00:00;2026-02-19T10:50:00;12;OPEN;2;1
38;Thomas;2026-02-19T12:15:00;2026-02-19T13:05:00;20;OPEN;2;1
39;Thomas;2026-02-19T17:30:00;2026-02-19T18:20:00;10;OPEN;1;3
40;Mélanie;2026-02-19T18:30:00;2026-02-19T19:20:00;20;OPEN;2;2
41;Antoine;2026-02-19T19:30:00;2026-02-19T20:20:00;12;OPEN;1;3
42;Antoine;2026-02-20T08:00:00;2026-02-20T08:50:00;20;OPEN;2;3
43;Sarah;2026-02-20T09:00:00;2026-02-20T09:50:00;15;OPEN;2;2
44;Sarah;2026-02-20T10:00:00;2026-02-20T10:50:00;12;OPEN;2;1
45;Julie;2026-02-20T12:15:00;2026-02-20T13:05:00;15;OPEN;2;2
46;Thomas;2026-02-20T17:30:00;2026-02-20T18:20:00;20;OPEN;1;1
47;Sarah;2026-02-20T18:30:00;2026-02-20T19:20:00;10;OPEN;1;1
48;Thomas;2026-02-20T19:30:00;2026-02-20T20:20:00;15;OPEN;2;2
49;Antoine;2026-02-21T09:00:00;2026-02-21T09:50:00;10;OPEN;1;1
50;Julie;2026-02-21T10:00:00;2026-02-21T10:50:00;15;OPEN;2;3
51;Julie;2026-02-21T11:00:00;2026-02-21T11:50:00;12;OPEN;2;1
52;Sarah;2026-02-22T09:00:00;2026-02-22T09:50:00;10;OPEN;1;2
53;Antoine;2026-02-22T10:00:00;2026-02-22T10:50:00;10;OPEN;1;3
54;Mélanie;2026-02-22T11:00:00;2026-02-22T11:50:00;20;OPEN;1;2
55;Julie;2026-02-23T08:00:00;2026-02-23T08:50:00;10;OPEN;2;3
56;Thomas;2026-02-23T09:00:00;2026-02-23T09:50:00;15;OPEN;1;1
57;Julie;2026-02-23T10:00:00;2026-02-23T10:50:00;10;OPEN;2;1
58;Julie;2026-02-23T12:15:00;2026-02-23T13:05:00;10;OPEN;2;3
59;Thomas;2026-02-23T17:30:00;2026-02-23T18:20:00;10;OPEN;2;2
60;Sarah;2026-02-23T18:30:00;2026-02-23T19:20:00;15;OPEN;2;2
61;Julie;2026-02-23T19:30:00;2026-02-23T20:20:00;20;OPEN;2;3
62;Mélanie;2026-02-24T08:00:00;2026-02-24T08:50:00;10;OPEN;1;3
63;Julie;2026-02-24T09:00:00;2026-02-24T09:50:00;10;OPEN;1;1
64;Mélanie;2026-02-24T10:00:00;2026-02-24T10:50:00;10;OPEN;2;3
65;Julie;2026-02-24T12:15:00;2026-02-24T13:05:00;15;OPEN;1;2
66;Antoine;2026-02-24T17:30:00;2026-02-24T18:20:00;10;OPEN;1;2
67;Julie;2026-02-24T18:30:00;2026-02-24T19:20:00;10;OPEN;1;2
68;Sarah;2026-02-24T19:30:00;2026-02-24T20:20:00;15;OPEN;1;2
69;Thomas;2026-02-25T08:00:00;2026-02-25T08:50:00;15;OPEN;2;2
70;Sarah;2026-02-25T09:00:00;2026-02-25T09:50:00;10;OPEN;2;3
71;Mélanie;2026-02-25T10:00:00;2026-02-25T10:50:00;15;OPEN;2;3
72;Sarah;2026-02-25T12:15:00;2026-02-25T13:05:00;15;OPEN;1;3
73;Mélanie;2026-02-25T17:30:00;2026-02-25T18:20:00;10;OPEN;1;2
74;Sarah;2026-02-25T18:30:00;2026-02-25T19:20:00;12;OPEN;2;2
75;Julie;2026-02-25T19:30:00;2026-02-25T20:20:00;10;OPEN;2;2
76;Thomas;2026-02-26T08:00:00;2026-02-26T08:50:00;10;OPEN;2;1
77;Thomas;2026-02-26T09:00:00;2026-02-26T09:50:00;15;OPEN;2;2
78;Julie;2026-02-26T10:00:00;2026-02-26T10:50:00;20;OPEN;2;1
79;Thomas;2026-02-26T12:15:00;2026-02-26T13:05:00;15;OPEN;1;2
80;Antoine;2026-02-26T17:30:00;2026-02-26T18:20:00;20;OPEN;1;2
81;Mélanie;2026-02-26T18:30:00;2026-02-26T19:20:00;15;OPEN;2;3
82;Thomas;2026-02-26T19:30:00;2026-02-26T20:20:00;10;OPEN;2;3
