id;pack_name;description;price;billing_period;credits;validity_days
1;pas mal clac concurrence;par plus pour;5034;flatter;23362;7433
2;ouille;carrément bientôt;24581;infiniment;24701;11475
3;euh derrière plonger;envahir;23856;à condition que;19139;16326
4;clientèle;lectorat;7421;depuis cependant insipide;13886;11407
5;personnel blablabla équipe de recherche;succéder;16393;couvrir plic;26274;17281
6;tandis que sincère;rectorat sitôt que conseil municipal;32510;tandis que de crainte que tout;6652;24936
7;déshabiller autrement d'abord;pin-pon terminer;16586;sur;8473;843
8;au-dessous de serviable;à force de;13423;retourner ouah;23967;17721
9;membre de l’équipe;rose;26543;afin que désagréable chut;551;23413
10;conseil municipal de sorte que;après restituer membre titulaire;3024;chef de cuisine vu que approuver;26419;19472
