id;subscription_name;description;price;billing_period;credits_per_period;start_date;end_date
1;alors;défendre grâce à smack;7884;approximativement via ronron;28997;2026-01-13;2026-01-13
2;crac ah;toutefois entre;13553;administration;5477;2026-01-12;2026-01-13
3;oh conseil municipal;avare coupable;17066;de manière à ce que très;16201;2026-01-12;2026-01-13
4;en;si;6908;équipe de recherche;23117;2026-01-12;2026-01-13
5;depuis d'avec;énergique si bien que;5738;foule au-dehors dévorer;7500;2026-01-13;2026-01-13
6;quand pacifique;afin que de crainte que;13674;demain;28009;2026-01-13;2026-01-13
7;tchou tchouu police;commis de cuisine si;20318;debout chef garantir;22186;2026-01-13;2026-01-13
8;miam vu que;mélancolique peu;30083;écrire;18139;2026-01-13;2026-01-13
9;doucement cadre;plouf amorphe communauté étudiante;21978;trier;4246;2026-01-13;2026-01-13
10;du fait que mater;candide lors;21555;juriste maintenant;18121;2026-01-12;2026-01-13
