id;name;address;category
1;chut mairie;coin-coin pour animer;diablement suffisamment foule
2;sombre;en outre de;tout à fait quand au cas où
3;fonctionnaire;au-dessous de snif ouf;assez sitôt que autour de
4;priver à l'exception de;rectorat;pourvu que
5;marron population du Québec;lectorat;tant que énorme
6;fourbe porte-parole exiger;touriste tandis que;accompagner
7;à condition que aussitôt;absolument de la part de;lever par suite de délectable
8;si déjeuner;hirsute grandement de façon à ce que;habiller
9;tandis que soudain;très;miaou au-delà
10;alentour nager;pour que prolonger;en decà de
